___ annotation is used to specify URI of the resource | @path
Given: < SCRIPT LANGUAGE = "JavaScript" > var theArray = [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ]; modifyArray( theArray[ 3 ] ); document.write( theArray.join( " " ) ); function modifyArray( i ) { i = 11; } </SCRIPT> What will the browser display if the following script is executed? | 1 2 3 4 5 6 7 8 9
Given: <?xml version="1.0" encoding="UTF-8"?> <email> <to>Joe</to> <from>John</from> <heading>Final Exam</heaDing> <body>Try your self</body> </eMail> Choose the correct statement Choose one answer. | the document is not well-formed
Given: <HTML> <HEAD> <TITLE>DHTML Event Model - ONLOAD</TITLE> <SCRIPT LANGUAGE = " "> var value = 0; function startTimer(){window.setInterval( "updateTime()", 1000 ); } function updateTime(){ value++; pText.innerText = value; }</SCRIPT> </HEAD> <BODY ONLOAD = "startTimer()"> <P><A ID = "pText">0</A></P> </BODY> </HTML> | it counts the number of seconds elapsed viewing the page.
Given: <SCRIPT LANGUAGE = " "> var c = new Array(8) for( var i = 0; i < 10; i++ ) c[i] = i;document.write(c[9]) </SCRIPT> What would the browser display if this script was executed? | 9
Given: <SCRIPT LANGUAGE = " "> var total = 0; stop: { // labeled compound statement for ( var i = 0; i < 5; ++i ) { for ( var j = 0; j < 2 ; ++j ) { if ( i == 2 ) break stop; total++; } total++; } total++; } total++; document.writeln( total ); </SCRIPT> What would the browser display if it executed the following script? | 7
Given: 1. <?xml version="1.0"?> 2. <note date="12/11/99"> 3. <to>Ravi</to> 4. <from>Amit</from> 5. <heading>Final Exam</Heading> 6. <body>Try yourself<body> 7. </note> Choose the correct statement | line 6 contains error
Given: Xml fragment document <aaa><bbb/></aaa> XSL fragment <xsl:import href="aaa.xsl"/> <xsl:import href="bbb.xsl"/> The aaa.xsl fragment <xsl:template match="bbb">testA</xsl:template> The bbb.xsl fragment <xsl:template match="bbb">testB</xsl:template> Choose the correct statement | testb
Giving a local function variable the same name as a global variable will result in which of the following? | the local variable will "hide" the global variable.
Google Chrome supports XML, XSLT, XPath from version _____. | 1
H1{font-size xx-large} Is the above statement syntactically correct to make the heading font extra large? | no
he attribute values are not enclosed in | quotation marks.
he ones we discussed today are that an XML document must contain one or more elements. One element, the root element, must contain all the other elements. | finally, each element must nest inside any enclosing elements correctly.
Height="8" Weight="70"> Here 8 and 70 when used outside XML Environment, they are taken as | strings
Here's one example: <polyline points="0,0 100,100 200,0/> | >
Here's one solution: let $name := local-name($elem) | .
Here's one way to do it: define global $data {treat as document data (glx:document-validate("data.xml", "document"))} | .
How a data source is displayed by the browser depends on the ________. | d) element that the data source is bound to
How can the data source be validated against the associated schema in unmarshalling operation? | using setschema method or using setvalidating method
How can you determine the text in a text node by using SAX? | you can implement the characters method and extract the text node's text from the character array passed to you, using the starting position in the array
How can you ensure the continuity of the session while using HttpServletResponse.sendRedirect() method when cookies are not supported by the client? | b. by enconding the redirect path with httpservletresponse.encoderedirecturl() method.
How do you call a function named "myFunction | myfunction()
How do you find the client's browser name? | navigator.appname
How do you find the largest number of 6 and 8? | math.max(6,8)
How do you put a message in the browser's status bar? | window.status = "put your message here"
How do you read the first character in a string? | stringname.charat(0);
How do you round the number 8.25, to the nearest whole number? | math.round(8.25)
How do you write a conditional statement for executing some statements only if "i" is equal to 5? | if (i==5)
How do you write a conditional statement for executing some statements only if "i" is NOT equal to 5? | if (i != 5)
How does a "for" loop start? | for (i = 0; i <= 5; i++)
How is an empty element field defined | all of the above
How is an empty XML element defined? | all of the above
How many components do the JAXB Architecture provide? | schema compiler, schema generator, binding runtime framework
How many different kind of loops are there in JavaScript | two. the "for" loop and the "while" loop
How many indicators are present in Schema? | 7
How many numbers are printed, when the following JSTL code fragment is executed? Select the one correct answer.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %> <c:forEach var="item" begin="0" end="10" step="2"> ${item} </c:forEach> | 6
How many numbers gets printed when the following JSTL code fragment is executed? Select the one correct answer.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %> <c:set var="item" value="2"/> <c:choose> <c:when test="${item>0}"> <c:out value="1"/> </c:when> <c:when test="${item==2}"> <c:out value="2"/> </c:when> <c:when test="${item<2}"> <c:out value="3"/> </c:when> <c:otherwise> <c:out value="4"/> </c:otherwise> </c:choose> | one number gets printed.
How many parameters are there for deleteData() method ? (st art, length) | c. 2
How many parameters are there for replaceData() method ? (start, length,string) | 3
How many type of XML parser does? | validating parsers and non-validating parsers
How to specify the attributes with multiple values? | attributes cannot have multiple values
How to unmarshall XML into Java objects? Convert from XML to Java objects. | jaxbcontext context = jaxbcontext.newinstance(cars.class); unmarshaller u = context.createunmarshaller(); cars cars = (cars) u.unmarshal(new fileinputstream("cars.xml"));
How to use external javascript file in a HTML file? | script language="javascript" src="filename.js"
How will the following CSS rule alter the Webpage if it is applied in a style sheet? H1 { font-family: Arial, sans - serif } | all text enclosed by h1 tags will have the sans-serif font if arial is not supported by the system.
HTML code:<B> Customer </B><p>Michelle Abraham <br> Salmonella Apartments<br> Programmer<br></p>Peter is asked to represent the information given in the HTML code snippet above in XML. He represents the information as follows: <CUSTOMER> <NAME> Michelle Abraham <ADDRESS> Salmonella Apartments </NAME> </ADDRESS> PROFESSION> Programmer </PROFESSION> </CUSTOMER> Identify the error in the above code and suggest a solution for the same. | error on line: <name> michelle abraham <address> salmonella apartments </name> </address> . solution: the closing tag of the name element should be written before the address element.
HTML linking is one to one and is hardcoded in the HTML file. This indicates that HTML has a robust linking mechanism which is an advantage of using HTML. | f
HTML provides the advantage of creating customized tags making it easier for the users to create their own tags. | f
HTTP is a "stateless" protocol: each time a client retrieves a Web page, it opens a separate connection to the Web server, and the server does not automatically maintain contextual information about a client. | true
HttpSession objects have a built-in data structure that lets you store any number of keys and associated values. | a. true
ID selector match elements which have an id attribute. | t
ID selectors are used to define style rules for unique elements. | t
Identifiers that represent local variables in a function ________. | b) exist while the function in which they are declared is still active
Identifiers which have static duration ________. | are globally accessible to the script
Identify correct statement about a WAR file.(Choose one) | it contains web components such as servlets as well as ejbs
Identify if the following code is correct? <b><i>This text is bold and italic</b></i> | incorrect
Identify if the following XML document code is valid. <?xml version="1.0"?> <note> <to>Joe</to> <from>John</from> <heading>Reminder</heading> <body>Dont forget me this weekend!</body> </note> | valid
Identify if the following XML document code is valid. <?xml version="1.0"?> <to>Joe</to> <from>John</from> <heading>Reminder</heading> <body>Dont forget me this weekend!</body> | invalid
Identify the attribute applied to a property to give it precedence over other properties. | !important
Identify the correct statements | #pcdata means that the element contains data that is to be parsed by a parser. + #cdata means that the element contains character data that is not to be parsed by a parser.
Identify the correct statements | css is an extension of html + xsl is an extension of xml
Identify the correct statements | none of the above.
Identify the correct statements about style sheets: | a style sheet is a set of instructions to display the+a style sheet separates presentation layer from the content data of the document.
Identify the correct statements related to 'createNode method': | when a node is created, it is created in context of the namespace mentioned.
Identify the correct statements related to XSLT | it is a template-based language.+it lets one map a pattern in the source document with the output in xml.
Identify the correct statements: | both are correct
Identify the correct statements: | tags from multiple namespaces can be mixed. + xsl uses the prefix xsl: for elements in the xsl namespace
Identify the correct statements: | xml documents can be sent + xml documents, which are not displayed to the users, do not require stylesheets.
Identify the correct syntax | <!element element-name (child-element-name,child-element-name,....>
Identify the correct syntax | <?xml-stylesheet type="text/xsl" href='url'?>
Identify the correct syntax for creating an XML document through DOM. | set xmldoc = createobject("microsoft.xmldom")
Identify the correct syntax for declaring an internal DTD | <!doctype rootelement [element and attribute declarations]>
Identify the correct syntax used by the XML document for displaying a stylesheet. | <?xml-stylesheet type="txt/css" href="abc.css"?> + <?xml-stylesheet type='txt/css' href='abc.css'?>
Identify the correct syntax: (One or more options are true) | 3 dap an con lai ko co #required
Identify the correct tag for indicating that a document is a style sheet file and provides a location for declaring the XSL namespace | <xsl:stylesheet xmlns:xsl="url">
Identify the elements, operators in XSL can be used with: | <xsl:template> + <xsl:for-each>
Identify the line/s containing an error 1)<?xml version="1.0"?> 2)<note date=12/11/99> 3)<to>Ravi</to> 4)<from>Amit</from> 5)<heading>Reminder</heading> 6)<body>Make good food please</body> 7)</note> | line 2
Identify the method used to get an object available in a session.(Choose one) | a. getattribute of httpsession
Identify the operator used to search across any number of levels of the hierarchy from the root of the document. | //
Identify the statements which correctly relate to XMLDOMNamedNodeMap Object: | these objects can be accessed by an index.+ it is used to iterate through the attributes for a specific element.
Identify the statements which hold true for CSS: | none
Identify the type of content of the PRODUCT element in the following XML code fragment. <PRODDET> <PRODUCT> <PRODID="P001"></PRODID><font face="fnt__2013101081549_0" size="14" color="#000000" letterspacing="0" kerning="1"> <PRODDESC>Baby Food </PRODDESC><font face="fnt__2013101081549_0" size="14" color="#000000" letterspacing="0" kerning="1"> <PRICEPERUNIT> 12 </PRICEPERUNIT> </PRODUCT> </PRODDET> | complextype
Identify the valid font properties and font related options are: | font-family + font-variant
IE5 has an inbuilt XML Parser called | msxml
If a ______________is being used then all the operations need to be written by the developer to a persistent API. | bean-managed persistent entity bean
If an application supports DOM it is irrelevant whether the program is written in VB or C. | t
If an element has attributes, it is considered to be of complex types. | true
If an element's position is declared as absolute then ________ . | positioning is set according to the margins of its parent element
If an XML element is of type "xs:date" and contain a string like "Hello World", the element will | not validate
If the attribute minOccurs is specified but the attribute maxOccurs is not, what is the default value of the latter ? | minoccurs
If the DTD is external to your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax: | <!doctype rootelement system "filename">
If the DTD is included in your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax: | <!doctype rootelement [elementdeclarations]>
If the HTML form game has a text field named point in it, what is the proper way to set the text associated with point to 10? | d) game.point.value = "10"
If the string passed to parseInt contains a floating-point numeric value, parseInt will ________. | d. truncate the floating-point part
If the string passed to parseInt contains text characters, parseInt will ________. | a. return nan
If the value of maxOccurs attribute is kept unbounded, it means that the element can appear unlimited number of times | t
If we want to select the supplier attribute of it's parent element, chips, our expression would be__________. | chips@supplier
If we wanted to find book elements in an XML document, we would set the match attribute to a simple XPath expression: book, and the code would look like this: | <xsl:template match="book">
If you "import" a stylesheet, the templates in it have lower precedence than those in the current stylesheet. | t
If you used the ONMOUSEMOVE event to capture mouse events over an image, which of the following event properties would you use to capture the location of the mouse cursor relative to the image boundaries? | offsetx / offsety
If you want to send an entity object as the pass by value through a remote interface, which of the following statements are valid? (Choose one) | b. @entity b. public class employees implements serializable{b. ...b. }
If you wanted to select every cost element that had a book parent, you would use a relative expression like this: | book/cost
implemented is called ________. | data abstraction
Implements the method of ErrorHandler, EntityResolver, DTDHandler : | defaulthandler
In a 3-tier model identify the front-end, middle-tier and back-end | browser, webserver, database server
In a B2B organization, it is required to exchange XML messages conforming to a single vocabulary | is the parser at the receiving end a validating parser? does the parser handle xml schemas or dtds? does the document instance override the internal dtd subset?
In a DTD, Attributes are declared with an _______ declaration | attlist
In a substring o function, the index of the first character is 0. | f
In a switch structure, the ________ case clause is used to process exceptional conditions and is usually listed last. | default
In a tree model wherein we take the example of a book in which the chapters and paragraphs correspond to an individual character in the document. These are termed as: | leaves
In a well-formed XML document, there must be one root element that contains | all the others.
In an XPath expression, if you put _______ where an element would normally go, you can select the parent element. | .. (2 periods)
In an XPath expression, the element to the right of the double period will have its parent selected. | false
In an XPath expression, the wildcard _________ can select every child element at once because it automatically matches everything possible. | * (asterisks symbol)
In case of 3 style sheets containing a reference to the same element, then identify the style sheet used. | last
IN CSS styling property value may be | all of the above
In CSS, identification of a selector context is done by using a: | period
In CSS, separation of multiple value combinations is by using a: | semi-colon
In CSS, when a style is applied to an element containing other elements inside it | the style is applied to the element and all the other elements contained in it
In designating an element in an XML structure, if you wanted to refer to one of the sub elements, you will have to create a string of child elements from the root to the desired child element. | true
In DOM, a node can have | more than one children nodes
In DOM, it is not necessary that an object for a valid node type will always be returned. | true
In DTD, XML element attributes are declared with a/an _________ declaration. | attlist
In EJB 2.0, ejb-jar.xml deployment descriptor file must be placed in ___________ folder. | meta-inf
In ejb-jar.xml file, <persistence-type> element value is _________________ | bean or container
In Java 1.4 or later, you can derive a class from a SAX handler class, such as DefaultHandler, and then use a | saxparserfactory object to create a new sax factory. you create a sax parser by using the saxparserfactory object, call its parse method, and implement the sax methods you want (for example, the startelement method).
In Java 1.4 or later, you can use a Java DocumentBuilderFactory object to create a DocumentBuilder object. Then you can use the DocumentBuilder object's parse method to parse an XML document and create a Java Document object. | .
In JavaScript, all objects and Arrays are passed to functions by ________. | reference
In JavaScript, capital letters are different from lowercase letters | yes
In JavaScript, numbers and boolean values are passed to functions by ____ | value
In order for elements to be floated, position must be ________. | b) not absolute
In order to format an XML document we combine it with a | style sheet
In order to indicate to an application processing the style sheet to look for <All> tags followed by<Perfect> tags the syntax is: | all.perfect
In order to sort numeric values, you must set the to | datatype=finumberfl
In SAX, to provide customized DTD handling, application need to implement : | dtdhandler
In SAX, to provide customized DTD handling, application need to implement | entityresolver
In schema, the ALL element requires that | each element in the group must occur at most once
In simple selectors you define same property declarations for multiple elements by specifying a comma separated list of element names | t
In the attribute-type the value which is pre-defined is indicated by: | xml;
In the body of a style sheet, CSS rule properties are followed by a ____ | colon
In the following line, the word document is a ________ which resides in the computer's memory and contains information used by the script. document.writeln("Hello World"); | object
In the following line, the word writeln is a ________ which performs a task or action in the script document.writeln("Hello World"); | method
In the following statement, the range of the variable element is ________. for ( var element in theArray ) total2 += theArray[ element ]; | g) 0 to the array length - 1
In VBScript, the unit of object-oriented programming is the ________. | class
In what year did the World Wide Web Consortium release its draft of XML? | 1996
In which of the following Authentication mechanism, the browser transmits the username and password to the server without any encryption? (Choose one) | a. http basic authentication
In which of the following do you set the MIME type of the external style sheet? | <link></link>
In which of the following scenario,using XML native storage would be inappropriate? | fixed schema
In XHTML, every XHTML document must have a <head> element, and every <head> element must contain at least a <title> element. | .
In XLink, how can you ensure that the content of a linked document appears in a new browser window | by setting the value of the show attribute to new.
In XML, elements are distinguished by using DTD | f
In Xpath, how many type of nodes in the tree | 7
In XPath, the structure of an XML document is viewed conceptually as a pyramid, | f
In Xpath, which node has a parent node and it may have child node too | text
In XPath, you reference an element by using it's __________. | name
In XSL the different source elements are separated by a: | pipe-stem
In XSL the sign that indicates that sorting takes place in the descending order is: | '-'
In XSL, an _____ instruction do contains the template, which is been applied to each node selected with the select attribute | xsl:for-each
In XSL, an attributes can be accessed in the way similar to the elements. Notice ____ in front of the attribute name | @
In XSLT, a string is a sequence of one or more Unicode character | f
independent | xml is a software and hardware __________ tool for carrying information
Inheritance enables one entity to acquire the properties of another entity | t
Inheritance of a style is a property in which a style rule for an element also applies to the element it contains. | t
Initializing an array directly involves using the ________ control structure. | a) for loop
Inside which HTML element do we put the JavaScript? | <script>
Instructions for transforming an XML document are contained in the | xsl stylesheet
Instructions that control how an element and its content should be converted in XSL style sheets, are called: | templates
Internal DTD and XML code are stored in a document with the file extension | xml
Internal DTDs specify the DTD within square brackets in the declaration itself | t
Internet Explorer supports XML, XSLT, and XPath from version ____. | 6
Internet Explorer will skip white-space text node that are generated between nodes (e.g. new-line characters), while Mozilla will not. | true
invented | xml tags are __________ by the author of the xml document
is an XML-related technology that is used to find elements, attributes, and other information in your XML document. | xpath
Is it legal to have an element and a complex type with the same name ? | yes
Is it possible to share aHttpSession object between a Java Server Page and Enterprise Java Bean? | yes, you can pass the httpsession as parameter to an ejb method, only if all objects in session are serializable
Is the DOCTYPE declaration compulsory ? | no
Is the DTD element type "ANY" equivalent with the XML Schema element "anyType" ? | no
Is the following attribute valid? <!ATTLIST Test4 an_attribute ID #FIXED "value"> | no
Is the following code for commenting in XML valid? <!-- Comment1 <!-- Comment2 --> --> | invalid
is the following element declaration valid in XML Schema | no
Is the following JSP code legal? Select the one correct statement. <%@page info="test page" session="false"%> <%@page session="false"%> | no. this code will generate syntax errors
Is the following statement true or false. URL rewriting may be used when a browser is disabled. In URL encoding the session id is included as part of the URL. | true
Is the following XML instance valid | no
Is the following XML Schema definition valid ? | no
Is the text node a direct child of the enclosing element in XPath | n
Is this statement true or false. The deployment descriptor of a web application must have the name web.xml . In the same way the tag library descriptor file must be called taglib.xml | false
It defines the document structure with a list of ____ | legal elements
It is possible to have a property with multiple values | t
It is usually advisable to keep as much JavaScript as possible in which section? | head
JavaScript is called an "object oriented" language, This means... | it can be used to point objects in a particular direction.
JavaScript lines end with what? | semicolon
JavaScript must be complied (changed to binary) before it can be run. | false
JavaServer Pages (JSP) technology enables you to mix regular, static HTML with dynamically generated content from servlets. You simply write the regular HTML in the normal manner, using familiar Web-page-building tools | true
JAX-WS supports which type of web service | soap
JAXB ___ method takes a string and converts it into xml | marshal
John is an XML programmer. He writes the following code to represent the items of a toy company: <?xml version="1.0" encoding="UTF-8"?> <!--PRODUCTDATA is the root element--> <PRODUCTDATA> <PRODUCT PRODID="P001"> <PRODUCTNAME>Barbie Doll</PRODUCTNAME> <DESCRIPTION> The price of this toy is < 200</DESCRIPTION> <PRICE>$20.00</PRICE> <QUANTITY>12</QUANTITY> </PRODUCT> </PRODUCTDATA> Identify the error in the above code and suggest a solution for the same. | error on line: <product prodid="p001"> solution: he should use quotp001; instead of "p001".
John, an XML developer, uses DOM to define the logical structure of documents and the way a document is accessed and manipulated. He wants to use XML DOM objects to traverse, read, and manipulate the structure and content of an XML document. John wants to represent the complete document map, which contains all the information in an XML document. He also wants to create an instance of the DOMDocument object to be able to work with any XML document. Which one of the following objects should John use? | domdocument
JSP __________ let you insert arbitrary code into the servlet's _jspService method (which is called by service). | a. scriptlets
JSP pages have access to implicit objects that are exposed automatically. Name the implicit object that is of type HttpSession. | session
JSP pages have access to implicit objects that are exposed automatically. One such object that is available is request. The request object is an instance of which class? | httpservletrequest
Leaf nodes have child nodes under them? | f
Length of XML tag is dependent on the processor. | true
letters, numbers, other characters | xml names can contain __________, __________, and __________
LF | xml stores a new line as __________
Linear Model is applied to dynamic document object? | f
load() method is used to load a string | f
loadXML() method is used to load an XML file | f
Local variables have ________ duration. | automatic
Logical structure of data can be interpreted and used in many ways by various applications due to XML tags. | true
Manipulating the XML document through DOM does not require any objects of the document to be created. | true
Markup includes | all of the above
markup language | a system of symbols (tags) and rules embedded in a document that govern its structure (content) and format (appearance)
Match the correct entity names with the respective characters a) &amp; 1) < b) &gt; 2) ' c) &quot; 3) > d) &lt; 4) " e) &apos; 5) & | a-5 ,b-3 ,c-4 ,d-1 ,e-2
Match the following Absolute units & Relative units with their respective values a)Ex 1)Inches b)In 2)Pixel c)Px 3)Pica d)Em 4)Fonts height e)Pc 5)Height of the letter 'x' | a-5,b-1,c-2,d-4,e-3
Match the xml data against its corresponding data type in XSD schema? <start>05:30:10.5</start> | time
MC: How many comparisons will a linear search function makes before finding a match if the search key has a value of 3 and the array x has the values: x[ 0 ] = 0 x[ 1 ] = 2 x[ 2 ] = 1 x[ 3 ] = 4 x[ 4 ] = 3 x[ 5 ] = 3 | 5
Message-Driven Bean does not have a home interface, local home interface, remote interface, or a local interface. | true
Message-driven beans do not have any return value. | true
metadata, data itself | __________ should be stored as attributes, and the __________ should be stored as elements
Method characters() of ContentHandler interface receives events for | character data
Method getElementsByTagName return a node of list which will be stored as | xmldomnodelist object
Method hasChildNodes of XMLDOMNode mean | determine if a given node has child nodes or not
Microsoft's Internet Explorer Web browser contains a ________ that executes VBScript code | interpreter
Microsoft's version of scripting that uses the Java syntax is called ________. | b. none of the others
Microsoft's version of scripting that uses the Java syntax is called ________. | jscript
Mixed content means that an element whose structure is the complex type can contains elements with attributes | f
Modules in JavaScript are called ________. | functions
Most DOM objects such as XMLDOMAttribute, XMLDOMElement, XMLDOMEntity, XMLDOMComment etc have several common methods and properties since they are inherited from a common object. Which object is it? | xmldomnode
Most DOM objects such as XMLDOMAttribute, XMLDOMElement, XMLDOMEntity, XMLDOMComment etc, have several common methods and properties since they are inherited from a common object. Which object is it? | xmldomnode
MSXML can only be used with JavaScript. | false
Multiple CSS rule properties in style sheets are separated by a ________. | semicolon
multiple values, tree structures, expandable | attributes cannot contain __________ or __________ and are not easily __________
Name the class that includes the getSession method that is used to get the HttpSession object. | httpservletrequest
Name the default value of the scope atribute of <jsp:usebean>. | page
Name the element within the tag element that defines the name of the class that implements the functionality of tag. Select the one correct answer | tag-class
Name the http method that sends the same response as the request. Select the one correct answer | trace method
Name the http method used to send resources to the server. Select the one correct answer | b. put method
Name the implicit variable available to JSP pages that may be used to access all the other implicit objects | pagecontext
Name the location of compiled class files within a war file? Select the one correct answer | /web-inf/classes
Name the method defined in the HttpServletResponse class that may be used to set the content type. Select the one correct answer. | setcontent
Namespaces are defined using | xmlns:[prefix] attribute
Namespaces ensure that there is no conflict within element names and also determines how to process them. | false
Nebula communications Inc is currently in the process of optimizing their database driven XML based web | change the application's parser to sax instead of dom
nested | xml elements must be properly __________
new ActiveXObject(Microsoft.XMLDOM); creates an XML document object. | t
NMTOKENS' | the value is a list of valid xml names.
no | xml has __________ predefined tags
Normally for enclosing a generic term when defining code we use | square brackets
not truncated | in xml, the white-space in a document is __________
Notes, working drafts, candidate recommendations | and recommendations
Now consider the same JSP example as last question. What must be added at the location YYY to print the sum of ten numbers. Select the one correct statement | <%= sum %>
number, punctuation character | xml names cannot start with a __________ or a __________
Object Model is a collection of objects for accessing and manipulating the XML data? | t
Objects with application scope are part of a particular Web application. | a. true
Onclick is equivalent to which two events in sequence | onmousedown and onmouseup
One of the greatest strength of XML Schemas is the support for | data types
One way is to use the DATASRC attribute of the <TABLE> element to connect to a DSO and the DATAFLD attribute of a <SPAN> element in each <TD> element. | .
One. You need at least a root element for an XML document | to be well-formed
Only a browser can access a result document. | false
Opera supports XML, XSLT, and XPath from version _____. | 9
Order by | places all return values in ascending order by default
other elements, text, attributes, a mix | in xml, an element can contain _________, __________, __________, or __________
ownerDocument attribute associates a child node with the parent node | t
Parameter entities are: | used only in dtds + always parsed entities
Parameter entities use ampersand (&) and semicolon (;) as delimiters? | false
parse method, and implement the SAX methods you want (for example, the startElement method) | .
parseError' is identified as a method due to which if an error is detected: | the document is not loaded
PCDATA is | an xml element that contains parsed character data
PCDATA means: | parsed character data
plain text format | xml data is stored in __________
Please read the following description about JAXB and choose the correct component to fill in blank in the JAXB Architectural Overview picture.A JAXB implementation consists of the following architectural components: + Schema compiler: Binds a source schema to a set of schema-derived program elements. The binding is described by an XML-based binding language. + Schema generator: Maps a set of existing program elements to a derived schema. The mapping is described by program annotations. + Binding runtime framework: Provides unmarshalling (reading) and marshalling (writing) operations for accessing, manipulating, and validating XML content using either schema-derived or existing program elements. | schema generator
Point out the wrong statement | typed xml type and untyped xml both have xml schema to validate the data
Post request put form data in the ___ of the HTTP request | body
Prefix is: | an alias selected by a document author
Processing instructions are application specific. | t
Processing instructions are passed to the target, | t
Property documentElement of DOMDocument object return | an object representing the root element if the xml document
quoted | xml attribute values must be __________
raw XML | __________ files can be viewed in all major browsers
Regarding URL rewriting for session support, which of the following is true? | every url that the client uses must include jsessionid.
Represents a collection of attribute nodes | xmldomnamednodemap
reserved words | in an xml name there are no __________
RESTful WS place a emphasizes on ____ communication | stateless
Restrictions on XML elements are called | facets
Restricts string types using regular expressions? | pattern
Review the following scenario; then identify which security mechanisms would be important to fulfill the requirement. (Choose one.) An online magazine company wishes to protect part of its website content, to make that part available only to users who pay a monthly subscription. The company wants to keep client, network, and server processing overheads down: Theft of content is unlikely to be an issue, as is abuse of user IDs and passwords through network snooping. | a. authorization and authentication
right click the page, View Source | to view raw xml on a webpage you must __________ and select __________
root element | this element encloses all other elements and is therefore the sole parent of them all
root element | xml documents must contain a ______________
Root element must not be a nonempty tag. | f
S{margin-right:-3cm;} Is the above statement valid? | no
SAX includes functions that are not supported by DOM. | t
SAX is | d. an xml parser
SAX is developed by XML-DEV mailing list | t
SAX makes sequence of call to a handler function? | true
SAX parser has high memory consumption | f
SAX requires the entire document to be stored in the memory | f
SAX support random access: | false
SAX uses : | push parsing machenic for processing
SaxonB is the only software that can process an XQuery. | false
SAXParserFactory object to create a new SAX factory. You create a SAX parser by using the SAXParserFactory object, call its | .
Schema checks for the validity of the XML document? | f
Schema is an _____ based alternative | xml
Schemas can be documented in human readable format by using | comments
Script-level variables have ________ duration. | static
See the extract from web.xml of web application "mywebapp" on server named myserver, runs on port 8080: <servlet-mapping><servlet-name>ServletA</servlet-name><url-pattern>/</url-pattern></servlet-mapping><servlet-mapping><servlet-name>ServletB</servlet-name><url-pattern>/bservlet.html</url-pattern></servlet-mapping><servlet-mapping><servlet-name>ServletC</servlet-name><url-pattern>*.servletC</url-pattern></servlet-mapping><servlet-mapping><servlet-name>ServletD</servlet-name><url-pattern>/dservlet/*</url-pattern></servlet-mapping>Given that a user enters the following into her browser, which (if any) of the mapped servlets will execute? (Choose one.) http://myserver:8080/mywebapp/Bservlet.html | a. servleta
See the snipset below and choose one answer | -2
See the snipset below and choose one answer: <xsl:for-each select="LIST//TITLE">...</xsl:for-each> | match all <title> elements one or more level deep in the <list> element
See the snipset below and choose one answer: <xsl:template match="BOOK*position()!=2+"> <xsl:value-of select="."/> </xsl:template> | select all book elements that are not the second child of their parents
See the snipset below and choose one answer: <xsl:value-of select="floor(-2.3)"/> | -3
See the snipset below and choose one answer: <xsl:value-of select=ceiling(-2.3)/> | -2
Select the BEST case to Use Entity Beans? (Choose one) | at any given time, only one client has access to the bean instance.
Select the BEST case to use message-driven bean?(Choose one) | need to avoid tying up server resources andneed the applications to process messages asynchronously
Select the correct attribute for sorting in an XSL document: | order-by
Select the correct directive statement insert into the first line of following lines of code (1 insert code here): | a. <%@page import='java.util.*' %>
Select the correct JMS programming model. | locate the jms driver->create a jms connection->create a jms session->locate the jms destination->create a jms producer or a jms consumer->send or receive message.
Select the flawless tags used to create a margin : | a{margin-left:10cm;} + a{margin-left:10%;}
Select the word to replace ???to make the diagram about messaging domain correct | topic
Selectors allowing us to differentiate between different occurrences of <extension> are termed as | contextual selectors
Selectors helping us to differentiate between different occurrences of a tag are termed as | contextual selectors
Servlet methods are executed automatically. | a. true
Servlet output is usually ___ | html
Servlets are deployed in a Servlet ____ | container
Servlets do ___ have a main() method | not
Setting an element's position to relative is done within which of the following | <style></style>
SGML stand for | standard generalization markup language
Simple selectors match occurrence of an element based on a condition | f
single quotes, &quot;data&quot; | if an attribute value itself contains double quotes you can use __________ or __________
small-caps' is a value supported by font-style. | false
SOAP stands for | simple object access protocol.
SOAP uses ___ and ____ | xml and http
sophisticated | xslt is far more __________ than css
Sorting, filtering, pattern matching are few of the things that XSL cannot be used for. | false
Space between the border and its contents is done by using the ________ property. | padding
spaces | xml names cannot contain __________
Special symbols can be inserted into an XML document using | a unicode value
Specifies that the attribute cannot be used? | prohibited
Starting from the root node, the XSLT engine finds rules, executes them, and continues until there are no more nodes in its context node set to work with | t
starting position in the array. The length of the text is also passed to you | .
StAX parser has no built-in document navigation support | t
StAX parser parses the XML document once. | f
stop processing | the w3c xml specification states that a program should __________ an xml document if it finds an error
Streaming pull parsing refers to a programming model in which _____. | a client application calls methods on an xml parsing library when it needs to interact with an xml infoset
structure, store, transport | xml was created to _______, ________, and ________ information
Struts2 flow of controler (5 things) | filter dispatcher, web.xml, intercepterors, actions, resulting jsp
Study the statements about web.xml file: 1) The deployment descriptor file is called web.xml, and it must be located in the WEB-INF directory.2) web.xml is in XML (extended markup language) format. Its root element is <web>. | only statement 1 is true
Study the statements:<question>1) The context path contains a special directory called WEB-INF, which contains the deployment descriptor file, web.xml.<question>2) A client application may directly access resources in WEB-INF or its subdirectories through HTTP. | a. only statement 1 is true
Study the statements:1) The context path contains a special directory called WEB-INF, which contains the deployment descriptor file, web.xml. 2) A client application may directly access resources in WEB-INF or its subdirectories through HTTP. | a. only statement 1 is true
