which of these following items are benefits of e-learning? hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
the exchange model in which a third party sets up the exchange and promises to run it efficiently and without bias is called the: | neutral entrepreneur model.
an exchange charges an annual fee of $25,000 for all parties who want to trade in the exchange. the revenue model in use by this exchange is the: | membership fee model.
a market maker charges a percentage on every buy and sell made in the exchange. the revenue model in place in this exchange is the: | transaction fee model.
a market maker bills a buyer for reviewing several seller contracts and making a recommendation on what to buy and from whom. the revenue model being used in this example is the: | fee for service model.
all of the following are potential sources of revenue for an exchange except: | shipping and handling fees.
when membership fees are the basis for revenue generation in an e-exchange, it has been shown that: | low membership fees often result in losses to the exchange,; however, high fees discourage participation.
the concept of liquidity for a b2b exchange is the: | number of buyers and sellers in a market.
the exchange model in which rfqs are aggregated then linked to a pool of suppliers who are notified automatically of the rfq is the ______________ model. | buyer aggregation
markets in which several large sellers sell to a large number of buyers are called: | seller-concentrated markets.
attracting large business sellers to public exchanges is often difficult for all of the following reasons except: | advertising costs in public exchanges are very expensive.
in dealing with exchange members, the management of the exchange should: | make certain that the exchange is neutral in its dealings with all members.
the most attractive industries for a vertical exchange are characterized by: | many fragmented buyers and sellers.
brand building is important in b2b exchanges because: | it is easy for exchange members to change to another exchange.
using tunneling technology to improve security of communication over the internet is called: | virtual private network (vpn).
are trading venues open to all interested parties (many sellers and many buyers) that use a common technology platform and that are usually run by third parties or industry consortia. | public e-marketplaces (or public exchanges or exchanges)
at the center of every exchange is a the third party that operates the exchange and, in many cases, may also own it. | market maker
is an exchange whose members are in one industry or industry segment. it trades only in materials/services unique for that industry. | vertical exchange
is an exchange that handles materials used by companies in different industries. | horizontal exchange
refers to the rapid movement of prices over time and possibly across customers, as a result of supply and demand matching. | dynamic pricing
a good example of dynamic pricing occurs in where prices vary and final prices are determined by the forces of supply and demand. | auctions
is a many-to-many marketplace owned by one company. | private exchange
has one seller and many buyers, or one buyer and many sellers. | a private marketplace
is one type of exchange in which several industry players collaborate to build an exchange so that all can benefit. | a consortium (or co-op)
exchanges, like all organizations, require | revenue
are information portals for businesses | b2b portals
is a directory of over 700,000 manufacturers and distributors from 28 countries | thomas global (thomasglobal.com)
are becoming a necessity in many industries due to the information glut. | specialized search engines
is the degree to which something can be bought or sold in a marketplace without significantly affecting its price. | market liquidity
is one of the two major models of third-party exchanges where distributors standardize, index, and aggregate suppliers catalogs and make them available to buyers in a centralized location. | supplier aggregation model
is an exchange formed and operated by a group of major companies in an industry to provide industrywide transaction services. | consortium trading exchange
which are the most popular type of b2b consortium, consist of a group of companies that join together to streamline purchasing processes. | purchasing-oriented consortia
is a business strategy that focuses on providing comprehensive quality service to business partners. | partner relationship management
is a business strategy that focuses on managing an enterprises interactions with its suppliers. | supplier relationship management
also known as private industrial networks are web-based networks owned by one large seller or buyer for inter-organizational communications. | company-centered networks
a special network model that enables transindustry collaboration is the which connects all internet business services. | business-to-exchange (or b2x)
that monitors traffic on a b2b exchange and takes appropriate actions when needed, such as sending an alert to management when traffic is too heavy or routing traffic to other places. | software agent
one of the factors that influence the success of a b2b exchange is which provides the rules for the exchange, minimizes conflicts, and supports decision making. | governance
one of the factors that has led to the failure of initial b2b exchanges was the failure of these marketplaces to foster a broad-based sharing of | information
researchers believe that the use of technology to facilitate collaboration among trading partners will help the expansion of the exchanges. | wireless
although a companys success is clearly dependent on finding and retaining customers, its success may be far more dependent on what is behind the web page than on what is on the web page. | t
it has been well known for generations that the success of many private, public, and military organizations depends on their ability to manage the flows of materials, information, and money, which is referred to as the product life cycle. | t
supply chain problems can cause delays, products not being where they are required at the right time, customer dissatisfaction, lost sales, and high expenses that result from fixing the problems once they occur. | t
the term supply chain comes from the concept of how systems and processes within an organization are linked together. | f
a supply chain involves activities that take place during the entire product life cycle, from dirt to dust. | t
a supply chain can be broken into three major parts: upstream, internal, and downstream. | t
the downstream part of the supply chain includes the activities of a company with its suppliers, which can be manufacturers, assemblers, or both, or service providers, and their connections with their suppliers. | f
in the internal part of the supply chain, the major concerns are production management, manufacturing, and inventory control. | t
in the upstream supply chain, attention is directed at distribution, warehousing, transportation, and after-sale service. | f
scm aims to minimize inventory levels, optimize production and increase throughput, decrease manufacturing time, optimize logistics and distribution, streamline order fulfillment, and overall reduce the costs associated with these activities. | t
a major requirement for any medium- to large-scale company that is moving to ec implies an integration between all the activities conducted on the web and the erp/mrp/scm solutionsin other words, creating an e-supply chain and managing it. | t
e-supply chain management is the collaborative use of technology to enhance b2c processes and improve speed, agility, real-time control, and customer satisfaction. | f
the success of an e-supply chain depends on managing information with strict policies, discipline, and daily monitoring. | t
the success of an e-supply chain depends on an e-supply chain that is loosely integrated both within a company and across an extended enterprise made up of suppliers, trading partners, logistics providers, and the distribution channel. | f
companies can use replenishment information to reduce inventories and eliminate stocking points. | t
by combining bar coding and wireless technologies, automobile dealers are able to scan in goods as they arrive electronically and place them in inventory up to 10 percent faster than previously. | f
at hospitals and supermarkets, inventory reorder points have been automated so that when inventory gets down to a certain point the system will automatically notify a human of the exact amount to reorder. | f
functional products are staple products, such as groceries or gasoline, that have stable and predictable demand. for these products, an effective supply chain emphasizes speed, responsiveness, and flexibility rather than low costs. | f
a major limitation of rfid currently is the restriction of the environments in which rfid tags are easily read. | t
rubee relies on low-frequency magnetic waves to track products and transfer information. it is becoming a replacement for rfid because rubee overcomes many of rfids limitations. | f
with vendor-managed inventory, retailers make their suppliers responsible for determining when to order and how much to order. the retailer provides the supplier with real-time information such as point-of-sale data, inventory levels, and a threshold below which orders are replenished. | t
the goal of collaborative planning, forecasting, and replenishment (cpfr) is to streamline product flow from manufacturing plants to retailers. | f
studies have shown that electronic-based collaboration and product lifecycle management (plm) can reduce product costs and travel expenses by 50 percent, as well as significantly reduce costs associated with product-change management. | f
as with any it project, management needs to be able to justify the development and use of a corporate portal by comparing its cost with its benefits. the challenge is that despite the tangible benefits from investment in portal technology, such as include increased revenues and customer loyalty, most of the benefits of portals are intangible. | t
a companys internal operations and its relationships with suppliers and other business partners are frequently: | as complex as customer-facing applications such as taking an order online.
for a manufacturer, the supply chain ends: | when the product is used up and disposed of.
the use of web technologies to manage warehousing and transportation processes is called: | e-logistics.
the e-scm process that includes integrated production and distribution processes is: | supply chain replenishment
the last fifteen orders from a manufacturer to its suppliers range from $100,000 to $8,740,000. this is an example of: | the bullwhip effect.
b2b systems which are used for communication, design, planning, information sharing, and information discovery are called: | collaborative commerce.
all of the following would be considered c-commerce except: | aggregating catalogs on a central server.
rfid can provide immediate, short-term, and long-term value to organizations. an example of immediate value from rfid is when: | an rfid tag tells inventory control every time a roll of wire moves out of the warehouse and onto the factory floor.
a major block in the widespread implementation of collaborative commerce is: | the lack of universally accepted standards.
wal-mart and levi strauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. this is an example of: | cpfr.
the purpose of cpfr is to: | ensure that members of the supply chain will have the right amount of raw materials and finished goods when they need them.
is a business strategy that enables manufacturers to control and share product-related data as part of product design and development efforts. | product lifecycle management
all of the following are true about product lifecycle management (plm) except: | the demand for plm in limited because it does not apply to products that have short life cycles or are complex.
today, many business experts agree with each of the following except: | supply chain integration has reduced the intensity of competition in most industries.
software that helps integrate different types of information systems among collaborating companies is called: | middleware.
collaborative workflow applications: | address project-oriented and collaborative processes
software applications that address project management concerns are examples of: | collaborations workflow applications.
addressing mission-critical, high-volume transaction processes is the goal of: | production workflow applications.
the steps required to approve an expense report is an example of: | administrative workflow applications.
is the transfer of documents and computer files while videoconferencing. | data conferencing
the primary benefits of workflow management systems include all of the following except: | increased data security.
when large suppliers or buyers are involved, a workflow system: | is needed for both the collaborative efforts and for supply chain and production improvements.
groupware is appropriate in all of the following situations except: | for people working on different tasks or projects.
means that the communication and collaboration are done in real time. | synchronous
all of the following are types of communication and collaboration done in real time except: | blogging
the growth in electronic meeting systems has been driven by all of the following except: | shorter cycle times.
the major benefit of group decision support systems is: | in conducting virtual meetings.
corporations are moving their phone systems to __________ to cut costs and boost efficiency. | voip
all of the following apply to instant video except: | the highest quality approach is to add video cameras to the participants computers
technologies in the dreamliner aircraft to support maintenance activities. | rfid
the success of many organizationsprivate, public, and militarydepends on their ability to manage the flow of materials, information, and money into, within, and out of the organization. such a flow is referred to as a | supply chain.
the term supply chain comes from the concept of how the partnering organizations are | linked
a supply chain involves activities that take place during the entire , from dirt to dust. | product life cycle
when a supply chain is managed electronically, usually with web technologies, it is referred to as a(n) | e-supply chain.
a supply chain can be broken into three major parts. the part of the supply chain includes the activities of a company with its suppliers and their connections with their suppliers. | upstream
is the process made up of a range of activities by which an organization obtains or gains access to the resources they require to undertake their core business activities. | procurement
a supply chain can be broken into three major parts. the part of the supply chain includes all of the in-house processes used in transforming the inputs received from the suppliers into the organizations outputs. | internal
a supply chain can be broken into three major parts. the part of the supply chain includes all the activities involved in delivering the products to the final customers. | downstream
is a complex process that requires the coordination of many activities so that the shipment of goods and services from supplier right through to customer is done efficiently and effectively for all parties concerned. | supply chain management
is the term that refers to the collective functionality of erp, scm, crm, and e-business solutions. | enterprise systems
is the collaborative use of technology to enhance b2b processes and improve speed, agility, real-time control, and customer satisfaction. | e-supply chain management
is the use of web-based technologies to support the material acquisition, warehousing, and transportation processes. | e-logistics
refers to erratic shifts in orders up and down supply chains. | bullwhip effect
refers to the use of digital technologies that enable companies to collaboratively plan, design, develop, manage, and research products, services, and innovative ec applications. | collaborative commerce
is a form of distributed computing that involves coordinating and sharing computing, application, data, storage, or network resources across dynamic and geographically dispersed organizations. | grid computing
retailers make their suppliers responsible for determining when to order and how much to order. the retailer provides the supplier with real-time information, inventory levels, and a threshold below which orders are replenished. | vendor-managed inventory
is a business strategy that enables manufacturers to control and share product-related data as part of product design and development efforts and in support of supply chain operations. | product lifecycle management
is an architecture that enables the assembly of distributed applications from software services and ties them together. | web services
involves the management of workflows so that documents, information, or tasks are passed from one participant to another in a way that is governed by the organizations rules or procedures to achieve required deadlines. | workflow management
are online meetings whose members are in different locations, even in different countries. | virtual meetings
refers to communication systems that transmit voice calls over internet-protocolbased networks. | voice-over-ip (voip)
are computer-based whiteboards that work like real-world whiteboards with markers and erasers, except all participants can join in. | interactive whiteboards
in collaborative work, members frequently are in different locations. using , group members can work on the same document, which is shown on the pc screen of each participant. | using screen-sharing software
the spread of instant messaging and internet telephony has naturally led to the idea of linking people via a video chat room, which is called | instant video.
# when creating a new business, the first step is to | identify a consumer or business need that isn't presently being met
#the principle reason for writing a business plan is to: | acquire external funding
#the key difference between an e-business plan and a traditional business plan is that the entrepreneur must | understand that the internet is a unique sales channel
# the difference between a business plan and a business case is | all new businesses should have a business plan, but only existing businesses planning a major ec or it initiative should develop a business case
#a(n) _________________ is a wealthy individual who contributes personal funds and possibly expertise at the earliest stage of business development | angel
#a(n) ______________ is a company, university, or nonprofit organization that supports promising businesses in their initial stages of development | incubator
#is money invested in a business by an individual or a group of individuals in exchange for equity in the business | venture capital
#the greatest difficulty in dealing with venture capital is: | finding a willing venture capitalist.
#the relationship between stock price and when an investor invests is | ipo investors will pay the highest price per share
#chaplins pet store has been in business for many years. chaplin, the present owner, decides to open an online sales channel where he can advertise and sell the same gourmet pet food. this is an example of adding | a storefront
#reprise electronics, a conglomerate that manufactures and sells all kinds of electronic goods under several brand names, currently has separate web sites for each of its brands. the company decides to bring all of the web sites together through a single site that, in addition to providing links to the brand pages, will also provide general information about how to select electronic merchandise and informational pages about the reprise company today and its management team. this is an example of adding | a portal
#in an organizational transformation | there is always a sharp break with the past and every aspect of the business will probably change
#a(n) __________________ web site does little more than provide information about the business and its products | informational
#a major entertaining company has four studios that have been in the same location for more than ten years. the company includes a page on its web site with addresses, phone numbers, and general e-mail addresses for each of these studios. none of this information has changed since the web site was developed. this is an example of ____________ content | static
#secondary content that offers a coupon, rebate, or special service is called | promotion
#reviews, testimonials, expert advice, or further explanation about the product are called: | cross-selling.
#the ______________ is how web pages are organized, labeled, and navigated to support browsing and searching | information architecture
#creating content that offers upgraded or more expensive versions of the product is called | up selling
#one of the first decisions to be made in building a web site is: | who will host it
#a(n) ________________ is an exact duplicate of the original web site physically located on a web server on another continent | mirror site
#the web hosting option under which the business acquires the hardware, software, staff, and dedicated telecommunications services needed to host a web site is called: | self-hosting
#the ___________________ is the name-based address that identifies an internet-connected server | domain name
#content not available anywhere else on the web is called | premium content
#the concept of consistency in web site design includes: | making sure web pages look the same no matter which browser a customer is using
#all of the following are advantages of building web sites internally except | it provides the fastest speed to market
#banks are more selective about who gets an account for accepting credit cards online because | cnp transactions are less secure and riskier
#in addition to providing an easy mechanism for buying books, the amazon.com web site is easily searchable by book title and author. it also has book reviews and suggests titles based on previous purchase activity. these enhancements make the amazon site a favorite for readers. this is an example of | internal web site promotion
#offers one of the most popular storefront packages at with three levels of merchant solutions: starter, standard, and professional | yahoo!
#options for acquiring storefronts include all of the following except: | join a mall
#before choosing the appropriate web site development option, you need to consider all of the following issues in order to generate a list of requirements and capabilities except | what might be the reaction of competitors?
#approximately what percent of internet shoppers use search engines to find products and services? | 75%
#sending spam that disguises a sales pitch to look like a personal e-mail so that it will bypass e-mail spam filters violates the | controlling the assault of nonsolicited pornography and marketing (can-spam) act.
#to defend against unethical and illegal business tactics that exploit ec operations, google, msn search, and yahoo have turned to all of the following aggressive measures except: | implemented honeypots
#having control over the collection, storage, and dissemination of personal information is included in the category of: | privacy
#a decision by a judge that may be used as a standard in similar cases that follow is referred to as | legal precedent
#critics of political spam are against its use because they believe that | all spam is a nuisance, clogs mail servers, and creates security risks
#due process is | a guarantee of basic fairness and fair procedures in legal action
#a duty is | a legal obligation not to interfere with a protected interest
#property rights relevant to e-commerce include all of the following except | the right to bring criminal charges against a violator
#a music company can file a ________ against youtube and myspace for any interference with the ability to profit from its ip or for profiting from the recording industrys property without authorization and compensation | lawsuit or civil charge
#enable an organization that has suffered a loss due to spammers to bring a lawsuit against spammers responsible for the loss | civil laws
#intellectual property law is the area of law that is associated with each of the following except: | business contracts
#which of the following is true about copyrights? | the entertainment industry, led primarily by the motion picture association of america (mpaa) and riaa, is trying technical solutions via the legal system to protect its interests
#each of the following statements about digital rights management (drm) is true except | drm technologies were developed with strict regard for privacy protection
#fair use means | that copyrighted material can be used for noncommercial purposes without paying royalties or getting permission.
#which of the following is true about the scope of business ethics? | the scope of business ethics has expanded to encompass the nature and quality of the relationships with shareholders, customers, business partners, suppliers, the community, environment, and future generations
#an internet acceptable use policy (aup) is an important safeguard because | without a formal aup, it is much more difficult to enforce acceptable behaviors and eliminate unacceptable behaviors, and punish violators
#section 5 of the ftc act does each of the following except: | requires monitoring of employees e-mail
#companies can improve their responsibility as custodians of customers personal data by implementing | opt in and opt out information practices.
#which of the following statements about the rights to privacy and free speech is not correct? | the internet has destroyed the right to privacy.
#all of the following are ways to use the internet to find information about an individual except | stealing the individuals computer
#private online communities that are only open to those who belong to them are called: | darknets
#a domain name is | intangible property protected by law
#the __________________ give law enforcement agencies broader range in their efforts to protect the public | usa patriot act
#work on the principle that once web surfers arrive at their site, a few of them will click on one of the linked advertisements and earn them a few cents for each click. | sploggers
#the least effective method to protect against pop-up ads and their risk is: | minimizing the pop-up window
#all of the following statements apply to hate web sites except: | the intent of most hate web sites is to commit fraud
#a legally binding contract requires a few basic elements. which of the following is not one of those elements? | agreement
#examples of electronic signatures to help distinguish between legitimate and fraud transactions include all of the following except: | a web site development agreement
#ec sellers need to protect against fraud and each of the following except: | public keys
#is a collaborative online encyclopedia that volunteers primarily write | wikipedia
#the newest areas of e-commerce are | web 2.0 applications
#perspectives about web 2.0 include all of the following except | web 2.0 is organized around pages, software, technology, individuals, and corporations.
#is a web development technique for creating quicker and more responsive web applications by exchanging small amounts of data with the server so that the entire web page does not have to be reloaded each time the user makes a change | ajax
#the _______________ is the intrinsic unit of thought on the web. | hyperlink
#compared to general-purpose it platforms, theweb is | fundamentally communications-oriented rather than computing-oriented.
#the real estate brokerage industry has been disrupted by companies such as zillow and homegain for each of the following reasons except | the web 2.0 real estate sites have driven down commissions from 6 percent to almost 1 percent
#a(n) _________ is a document retrieval system designed to help find information stored on a computer system, such as on the web, inside corporate or proprietary files, or in a personal computer | search engine
#the search war between google and yahoo! and other search engines is about: | internet advertising dollars.
#is a for-profit very rapidly growing web site that is tapping into the enthusiasm and knowledge of people to build a better search engine than google. | wikia.com
#are virtual communities organized by an interest, such as political parties, or by product, company, or health topic | affinity portals
#key strategies for successful online community include all of the following except: | control the sharing of information or sensitive opinions
#all of the following apply to social network theory except | between a set of nodes, there is one kind on tie.
#is the mapping and measuring of relationships and flows between people, groups, organizations, animals, computers or other information or knowledge processing entities. | social network analysis
#is based on the circle of friends technique for networking individuals in virtual communities and was the top online social network service until overtaken by myspace. | friendster
#all of the following are true about youtube except: | yahoo! purchased youtube for us$1.65 billion in stock in 2006
#content owners are targeting youtube and third-party video-sharing web sites for | copyright infringements
#a(n) ______________ is defined as a group of people that have some kind of commercial or business relationship such as the relationships between sellers and buyers, buyers among themselves, buyers and suppliers, and colleagues and other colleagues. | business network
#the main purpose of linkedin is to allow registered users to | create and maintain a list of contact details of people they know and trust in business.
#combined with leadership, the _______________________ is an indispensable kind of social network for properly running the business or project and to differentiate the business from similar ones. | entrepreneurial network
#windows live expo is an online _________________________ similar to craigslist in that it provides online classifieds and lets users choose listings they want to search sorted either by friends and contacts or by geographic proximity | social marketplace
#impacts of the web on the travel and tourism industry include all of the following except | decrease in direct sales of travel packages on the global market by small, local players
#the banking industry was a good candidate for disruption by person-to-person (p2p) technology and disintermediation by zopa because: | the industry was making a huge profit margin off its customers.
#is a 3-dimensional word where residents retain the rights to their digital creations and can buy, sell, and trade with other residents are able to sell them at various in-world venues. | second life
#wikis, blogs and rss are replacing e-mail for all of the following except | wikis, blogs and rss are more secure than e-mail.
#are tools that combine data from two or more web sites to create new applications | mashups
#where is web 2.0 software going? | large companies are adding web 2.0 tools to their existing collaboration products and ibm lotus and intel are adding social networking software to their software suites.
#implementing web 2.0 sites, especially social networks and similar communities, does all of the following except: | will quickly have a massive impact on almost every company that produces consumer goods
#retailers stand to benefit from online communities in several important ways except | viral marketing will be replaced by free advertising
#characteristics of the next generation internet, web 3.0, are expected to be all of the following except | decreased use of the semantic web
#the first major step in developing and e-commerce project is | identify, justify, and plan the ec system
#in general, what is the relationship between the cost of building and installing an ec system and the cost of operating and maintaining it? | it costs about as much time, effort, and money to operate and maintain as to build and install a system.
#an online intermediary that offers businesses access to hundreds of parts and services provided by multiple suppliers is called | e-procurement
#is the method of bringing together the products offered by many different suppliers into one place for consideration by all the buyers at a given company | aggregating catalogs
#in a b2c storefront, the function that provides customers with information about the product through their browser is called the | product presentation function.
#rick purchased and downloaded a new firewall software suite online. after installing the suite, he finds that he is unable to connect with the internet so he visits the faq for the software to look for solutions to the problem. this is an example of the | product support function.
#jackie purchases a new e-book from an online publisher. she loses power to her computer in a thunderstorm before the download is completed. when she tries to restart the download, she receives a message saying her download is complete. jackie will need the: | customer service function
#every time a customer orders a dvd player from an online record store, the inventory for that player is reduced in the inventory system. this is an example of the: | order entry function
#when planning an ec project, planners must first consider: | how the ec project aligns with the organization's overall business plans and processes.
#after an ec project has been implemented, the testing that is done to assure various modules in the project work together is called: | integration testing
#after an ec project has been implemented, the testing of the quality of user's experience when interacting with the site is called: | usability testing.
#tom visits a web interface that provides personalized access to information of interest to him. this is an example of a(n): | portal.
#the type of portal which acts as an interface between companies, customers, and suppliers, revealing subsets of information to specific audiences is called a(n): | extranet portal.
#the central portal for an entire organization is called a(n): | enterprise portal.
#a portal that acts as a gateway to other portals and web sites operated by an organization is called a(n) | corporate intranet portal.
#the ec application development technique that is most appropriate for strategic applications that will differentiate the company from its competitors is called: | insourcing
#the ec application development technique which entire applications are employed in the new system, that is especially useful when applications from several business partners must be integrated is called | enterprise application integration.
#the ec application development option that is most appropriate when an application is needed quickly, money is in short supply, and/or the new system is not expected to provide a competitive advantage is: | purchasing a commercial application.
#the ec application development option that is most appropriate when the application is needed quickly, money is a critical concern, and/or large amounts of maintenance are required is called | leasing.
#a company that manages application servers in a centrally controlled location rather than on a customer's site is called a(n) | application service provider (asp)
#the approach that seeks to make tapping into computing resources as simple as plugging in a lamp into an electrical outlet is called | utility computing
#all of the following describe system scalability except | scalability dimensions are independent because scaling up the size of the system in one dimension does not affect the other dimensions.
#measures the time required to complete an operation such as downloading a web page. it is an indicator of the users experience with the system. | latency
#merchant server software commonly includes the following features except | order management that optimizes movement of products through the supply chain.
#is one of oracles key applications. it supports product catalog and content management, interactive and complex selling, personalized pricing, flexible check and payment options, account and contract management, and postsales order and shipping services | istore
#ec suites that enable an organization to quickly build an e-business include all of the following except: | virtual computing laboratory
#is an ec architecture consisting of four tiers: web browsers, web servers, application servers, and database servers. | multitiered application architecture
#middleware provides all of the following functions or features except: | integrates large systems with one or more back-end databases
#the most difficult and crucial task in evaluating a vendor and a packaged system is: | to determine a weighted set of detailed criteria for choosing the best vendor and package.
#are formal agreements regarding the division of work between a company and its vendors. | service level agreements
#what are the steps and their order in ec order fulfillment? | ensuring payment, checking availability, arranging shipment, insurance, production, plant services, purchasing and warehousing, contacts with customers and returns
#company a is a retailer that sells only pre produced products. what are the steps and their order in ec order fulfillment? | ensuring payment, checking availability, arranging shipment, insurance, production, purchasing and warehousing, contacts with customers and returns
#company a is a manufacturer that sells only custom produced products. what are the steps and their order in ec order fulfillment? | ensuring payment, checking availability, arranging shipment, insurance, production, plant services, contacts with customers and returns
#applying business analytics techniques and business intelligence such as data mining and online analytic processing to crm applications describes what? | analytic crm
#which of the following factors would not affect a demand forecast? | production schedule
#which of the following would not create a "bullwhip" in the supply chain? | accurate demand forecasts
#which of the following is not a customer service metric? | product quality
#which of the following is an area where supply chains can be improved? | manufacturing processes
#which of the following is not an area where supply chains can be improved? | customer research
#which of the following is generally the "best" way for customers to deal with returns? | establish drop off locations for returns
#which of the following is not a future direction of crm? | reduced impact of open source products
#which of the following is not an example of web self-service? | call center support
#which of the following is not a reason to outsource? | the function is a core competence
#a piece of software that integrates departments and functions across a company to serve all of the company's needs is what type of system? | erp
#a crm system hosted and maintained by an asp is called? | on-demand crm
#this wireless technology will provide faster display of multimedia | 4g
#this technology is the most popular wwan standard. | gsm
#which of the following is a major characteristic of m-commerce? | reachability
#which of the following is not currently a factor in the development of m-commerce? | reluctance of vendors
#this software allows for viewing of web pages on mobile devices. what type of software is being described? | microbrowser
#this software is used to view online wml content. what type of software is being described? | microbrowser
#this transmission media is used for short distance, wireless communication between computers. | bluetooth
#this is the ieee standard for wimax. | 802.16
#this wireless standard is used to accommodate voice. | vxml
#this wireless standard is a set of protocols that allows portable devices to communicate with the internet | wap
#which of the following is not characteristic of an m-wallet. | is currently only experimental and not used by the public
#which of the following does not describe intrabusiness workflows after the addition of m-commerce? | work orders assigned by multiple dispatchers
#which of the following is not a limitation of m-commerce? | potential user base
#which of the following is not a limitation of m-commerce? | power consumption
#which of the following is not true of targeted advertising? | customers inform vendors of their locations
#which of the following is not a limitation of traditional auctions? | technical ability of buyers
#several identical items are offered with a minimum bid. the winners pay the same lowest price. what type of auction is being described? | dutch auction
#one unique item is offered. the price starts high until someone bids and becomes the winner. what type of auction is being described? | quickwin auction
#which of the following is not a benefit of auctions to buyers? | disintermediation
#which of the following is not a benefit of auctions to sellers? | entertainment
#which of the following is a limitation of auctions? | potential for fraud
#which of the following types of products is not typically offered on priceline.com? | antiques
#what is the typical order of the phases of the auction process? | searching and comparing, getting started at an auction, the actual bidding and post auction follow-up
#a seller has his friend bid on his auction to help drive up the price. what type of fraud is this? | shilling
#a group of bidders artificially inflate the price of an item to scare off other bidders. they then back out at the last minute, leaving one of them with a relatively low bid. what type of fraud is this? | bid shielding
#what are the steps in bargaining online? | search, selection, negotiation, continuing selection and negotiation, and transaction completion
#which of the following is not a benefit of using wireless phones in auctions? | security
#which of the following is a free method used to help deter fraud in online auctions? | grading services
#which of the following is not an example of post auction follow-up? | snipping
#which of the following services does an automated search service provide? | searches several auction sites for a particular product selected by the user
#which of the following is not true about the anatomy of cyber attacks? | reporting serious attacks has increased
#which of the following is generally the lowest ranked attack type? | dos attacks
#which of the following is not decreasing? | web site defacements
#determining who has the right to access a portion of a web site is a question of: | authorization.
#which of the following is not one of the four phases of risk management? | reporting
#which factor is responsible for most information security breaches? | human error
#which of the following is not part of the cia triad? | pricing
#a hacker uses special software to access a server on your network. what type of attack is this? | technical
#sending a large number of messages to a server that is unable to handle it. what type of attack is described? | denial of service (dos)
#an attack using a previously unknown vulnerability compromises a system. what type of attack is described? | zero-day incident
#sending a piece of code that replicates and sends itself to everyone in your address book. what type of attack is described? | worm
#what type of mechanism determines who can legitimately use a network resource? | access control
#a firewall is configured to examine not only the header of incoming messages but also their contents. what type of firewall is described? | stateful packet inspection
#a file is encrypted, and then decrypted using the same key. what type of encryption is described? | private key
#which of the following is not a type of internet security tactic? | ppt
#which of the following is not a common use of smart cards? | pc replacement
#which of the following is not an example of an e-payment? | cash
#which of the following is not one of the parties usually associated with electronic payments? | enforcer
#business a provides a system of credits that allow other businesses to make online purchases. what role is business a performing? | issuer
#an acs system: | verifies addresses against purchasers
#a cvn: | compares the verification number on a card to issuer records
#micropayments are generally under: ___________ . | $10
