an adjusting entries for unearned revenue affects | revenue and liabilities
the summary amounts below appear in the income statement and balance sheet columns of a company's december 31 work sheet. prepare the necessary closing entries into income summary asset : $15,000 liability: $14,000 expense: $ 8,000 withdrawal: $1,000 | credit  expense: $8,000 debit income summary: $8,000
the summary amounts below appear in the income statement and balance sheet columns of a company's december 31 work sheet. prepare the necessary closing entries into income summary asset : $15,000 liability: $14,000 revenue: $ 10,000 withdrawal: $1,000 | debit revenue: $10,000 credit income summary: $10,000
the summary amounts below appear in the income statement and balance sheet columns of a company's december 31 work sheet. prepare the necessary closing entries into owner capital asset : $15,000 liability: $14,000 withdrawal: $1,000 | debit owner capital: $1,000 credit withdrawal: $1,000
the system of preparing financial statements based on recognizing revenues when the cash is received and reporting expenses when the cash is paid is called: | cash basis accounting.
the trial balance: | provides a listing of the balance of each ledger account.
the useful life of a fixed asset is: | the length of time it is productively used in a company's operations.
the value of an asset as it appears on a balance sheet, equal to cost minus accumulated depreciation is definition of: | book value
thomas enterprises purchased a depreciable asset on january 1, 2008 at a cost of $100,000. the asset is expected to have a salvage value of $15,000 at the end of its five-year useful life. balance of accumulated depreciation of this asset at the end of 2009 is | $34000
under the accrual basis of accounting, expenses are reported in the accounting period when the | expense incurred 
under the accrual basis of accounting, revenues are reported in the accounting period when the | service or goods have been delivered
unearned revenues is what type of account? | liability
unearned revenue is reported in the financial statements as: | a liability on the balance sheet.
unearned revenues are: | liabilities created when a customer pays in advance for products or services before the revenue is earned.
viscount company collected $42,000 cash on its accounts receivable. the effects of this transaction as reflected in the accounting equation are: | total assets, total liabilities, and equity are unchanged.
what is the proper adjusting entry at december 31, the end of the accounting period, if the balance in the prepaid insurance account is $7,750 before adjustment, and the unexpired amount per analysis of policies is, $3,250? | debit insurance expense, $4,500; credit prepaid insurance, $4,500.
when a sale is made with the credit terms of 2/10, net 30, the "2" refers to the: | discount rate
which account is noncurrent or long-term asset | equipment, building, vehicle
which accounts belong to permanent accounts ? | asset, liability, owner capital
which accounts belong to temporary accounts? | revenue, expense, withdrawal, income summary
which accounts don�t need to do closing entries? | current liability
which accounts don�t need to do closing entries? | current asset
which accounts don�t need to do closing entries? | gross profit
which accounts don�t need to do closing entries? | intangible asset
which accounts don�t need to do closing entries? | non � current liability
which accounts don�t need to do closing entries? | non � current asset
which accounts need to do closing entries? | all of these
which accounts used to record amounts owed to suppliers for products or services purchased on credit? | trade accounts payable
which are expected to be sold collected or used within one year or the company�s operating cycle? | current assets
which discounts are offered based on quantities purchased | trade discounts
which discounts are provided to customers as an incentive for them to pay early | purchase discounts
which is the process that resets revenue, expense and withdrawal account balances to zero at the end of the period | closing process
which is true about an account balance: | is the difference between the total debits and total credits for an account including the beginning balance
which is true about expenses: | the costs of assets or services used to generate revenue.
which is true about revenues: | company's earning activities that contribute to increase owner�s equity .
which is true about account receivable: | money which is owed to a company by a customer for products and services provided on credit.
which of the following accounting principles would require that all goods and services purchased should be recorded at cost? | cost principle.
which of the following accounts is not increased by a credit | asset
which of the following accounts is not increased by a debit? | revenue
which of the following assets is not depreciated? | inventory
which of the following inventory costing methods will always result in the same values for ending inventory and cost of goods sold regardless of whether a perpetual or periodic inventory system is used? | specific identification and fifo
which of the following statements is correct? | the left side of a t-account is the debit side.
which of the following statements is incorrect? | adjusting entries affect the cash account.
which of the following statements is incorrect? | the normal balance of an expense account is a credit.
which of the following statements is true about assets? | all of these.
which of the following statements is true? | a debit increases an asset while a credit  decrease an asset
which statement is about mary�s capital: | the owner's equity account that contains the amount invested in the sole proprietorship by mary smith plus the net income since the company began minus the draws made by mary smith since the company began.
which statement is correct? | accumulated depreciation is a contra asset account
which statement is true about revenue: | revenue is reported in the financial statements on the income statement.
which statement is true about tangible asset? | tangible  assets are assets held for operating activity of the company 
which statement is true: | a retailer is an intermediary that buys products from manufacturers or wholesalers and sells them to consumers.
which statement is true: | account payable  is considered a liability on the balance sheet
which statement is true: | depreciation expense is shown on the income statement in order to achieve accounting's matching principle.
which statement is true: | generally when an expense or withdraw is involved in a transaction, it will be debit
which statement is true: | merchandise available for sale includes beginning inventory and net cost of purchases.
which statement is true: | prepaid expense is considered an asset on the balance sheet
which statement is true: | unearned revenue  is considered a liability on the balance sheet
which statement is true? | expenses decrease owner�s equity
which statement is true? | the double entry system requires every transaction to be recorded in at least two places
which statement is true? | assets need to depreciate include  vehicle, machine,  buildings
which statement is true? | a contra-asset account such as accumulated depreciation will likely have credit balance
which statement is true? | current liabilities include accounts payable, unearned revenues, and salaries payable. 
which statement is true? | income summary and withdrawals accounts are temporary accounts and should be closed at the end of the accounting period. 
which statement is true? | revenue and expense accounts are temporary accounts and should be closed at the end of the accounting period. 
which statement is true? | the cost of an inventory item includes its invoice cost minus any discount, and plus any added costs necessary to put it in a place and condition for sale. 
which statement is true? | total asset cost minus accumulated depreciation equals book value. 
wisconsin rentals purchased office supplies on credit. the general journal entry made by wisconsin rentals will include a: | credit to accounts payable.
withdrawal account, revenues account, expenses account and income summary account are | temporary accounts
zed bennett opened an art gallery and as a dealer completed these transactions: 1. started the gallery, artery, by investing $40,000 cash and equipment valued at $18,000. what was the balance of the cash account after these transactions were posted? | $43,300.
the operating functions of a business include: | all of these.
the rule that  financial statements will be prepare with the  assumption that the business will continue operating instead of being closed or sold, is the: | on - going-concern principle.
the accounting principle that requires accounting information to be based on actual cost and, is the: | cost principle.
an example of a financing activity is: | obtaining a short term loan.
an example of an investing activity is: | purchase of land.
net income is: | the excess of revenues over expenses.
the difference between a company's assets and its liabilities is: | equity.
which item in owner equity that represents costs used to earn revenues : | expenses.
expenses are: | the costs of assets or services used to generate revenue.
revenues are: | company's earning activities that contribute to increase owner equity .
accounting  refers to: | all of these
if assets are $99,000 and liabilities are $32,000, then equity equals | $67,000.
a cash outflow from the company into its owner is called a(n): | withdrawal.
how does lead company record  by the billing of a client for $15,000 of service completed? | +$15,000 accounts receivable, +$15,000 revenue.
moffic  company has assets of $600,000, liabilities of $250,000, and equity of $350,000. it buys raw material on credit for $25,000. what would be the effects of this transaction on the accounting equation? | assets increase by $25,000 and liabilities increase by $25,000.
reebok had income of $150 million, sale of $ 1,000 million  and average invested assets of $1,800 million. its return on assets is: | 8.3%.
nike had income of $350 million, sale of $ 1,000 million  and average invested assets of $2,000 million. its roa is: | 17.5%.
liability created by purchasing goods and services on credit are: | accounts payable.
accounts receivable refers: | money which is owed to a company by a customer for products and services provided on credit
an account used to record the owner's investments in the business is called a(n): | contributed capital account
the proper journal entry to record ransom company's billing of clients for $500 of services rendered is: | dr. accounts receivable 500 cr. service revenue     500
which accounts don't need to do closing entries? | non - current liability
a company that uses a perpetual inventory system made the following cash purchases and sales:jan, 1: purchased 100 units at $10 per unit.feb, 5: purchased 60 units at $12 per unit.march, 16: sold 40 units for $ 16 per unit.prepare general journal entries to record the march 16 sale assuming a cash sale and thefifo method is used. | march 16 dr cash 640 cr sale revenue 640 dr cogs 400 cr inventories 400
if assets are $199,000 and liabilities are $132,000, then equity equals | $67,000.
which accounts don't need to do closing entries? | non - current asset
a company must record its expenses incurred to generate the revenue reported. | matching principle
realistic company purchased a new truck on january 1, 20x1. the truck cost $20,000, has a four-year life, and a $4,000 residual value. the company has a december 31 year end. if realistic company depreciates the truck by the straight-line method, how much should realistic report as the book value of the truck at the end of 20x3? | $8,000
which is true about revenues: | company's earning activities that contribute to increase owner's equity .
on june 30, 2009, apricot co. paid $7,500 cash for a service that will be performed during two-year period. on june 30, 2009 apricot should record: | a debit to a prepaid expense for $7,500 and credit cash $ 7,500
which statement is true? | income summary and withdrawals accounts are temporary accounts and should be closed at the end of the accounting period.
provide descriptions for this transaction: increase cash $1,000 and increase equity $,1000 | investment of cash in business by owner or performed services for cash
at the beginning of january of the current year, a law company has a normal balance of $50,000 for accounts receivable. during january, the company collected $14,000 from customers and provided additional services to customers on account totaling $12,000.additional, company used service of $ 1,000 on credit. at the end of january, the balance in the accounts receivable account should be: | $48,000.
which accounts don't need to do closing entries? | gross profit
depreciation is: | the assigning or allocating of a fixed asset's cost to expense over the accounting periods that the asset is likely to be used.
provide descriptions for this transaction:debit inventory $8,000 and credit liability $,8000 | buying inventory on credit $8,000
tangible assets include: | all of these.
a company had inventory of 5 units at a cost of $20 each on november 1. on november 2, it purchased 10 units at $22 each. on november 6 it purchased 6 units at $25 each. on november 8, it sold 18 units for $54 each. using the lifo perpetual inventory method, what was the cost of the 18 units sold? | $410.
a company purchased new computers at a cost of $14,000 on september 30, 2010. the computers are estimated to have a useful life of 4 years and a salvage value of $2,000. the company uses the straight-line method of depreciation. how much depreciation expense will be recorded for the computers for the year ended december 31, 2010? | $750
the summary amounts below appear in the income statement and balance sheet columns of a company's december 31 work sheet. prepare the necessary closing entries into income summaryasset : $10,000revenue: $ 15,000unearned revenue: $1,000 | debit revenue: $15,000 credit income summary: $15,000
the operating functions of a business exclude: | borrowing.
zed bennett opened an art gallery and as a dealer completed these transactions:1. started the gallery, artery, by investing $40,000 cash and equipment valued at $18,000.2. purchased $70 of office supplies on credit.3. paid $1,200 cash for the receptionist's salary.4. sold a painting for an artist and collected a $4,500 cash commission on the sale.5. completed an art appraisal and billed the client $200.what was the balance of the cash account after these transactions were posted? | $43,300.
john, the owner of matt company, withdrew $8,000 from the business during the current year. the entry to close the withdrawals account at the end of the year, is: | debit capital $8,000 and credit withdrawal $ 8,000
provide descriptions for this transaction: | received cash for an account receivable.
the business completed these transactions:1. investing $20,000 cash and a building valued at $100,000.2. purchased $10,000 of a truck on credit.3. paid $20,000 cash for raw material.4. selling products and collected$40,000 cash.what was the balance of the cash account after these transactions were posted? | $40,000
a business is accounted for separately from other business entities, including its owner. | business entity assumption
acme-jones company uses a weighted-average perpetual inventory system.august 2, 8 units were purchased at $12 per unit.august 18, 15 units were purchased at $14 per unit.august 29, 20 units were sold.august 31, 10 units were purchased at $16 per unit.what is the per-unit value of ending inventory on august 31? | $15.38.
the proper journal entry to record ransom company's billing of clients for $500 of services rendered is: | dr. accounts receivable 500  cr. service revenue 500
the accounting assumption that requires every business to be accounted for separately from  other business entities, including its owner or owners is known as the: | business entity assumption.
a company has sales of $350,000, account receivable of 50,000 and estimates that 0.7% of its sales are uncollectible. the estimated amount of bad debts expense is | $2,450.
an adjusting entry could be made for each of the following except: | owner withdrawals.
a company purchased a plant asset for $45,000. the asset has an estimated salvage value of $6,000, and an estimated useful life of 10 years. the annual depreciation expense using the straight-line method is | $3,900 per year.
a company has inventory of 10 units at a cost of $10 each on june 1. on june 3, it purchased 20 units at $12 each. 12 units are sold on june 5. using the fifo perpetual inventory method, what is the cost of the 12 units that were sold? | $124.
an adjusting entry could be made for each of the following except: | owner capital
j. awn, the proprietor of awn services, withdrew $8,700 from the business during the current year. the entry to close the withdrawals account at the end of the year, is: | debit capital $8,700 and credit withdrawal $ 8,700
which accounts don't need to do closing entries? | current asset
if the liabilities of a business increased $75,000 during a period of time and the owner's equity in the business decreased $30,000 during the same period, the assets of then business must have: | increased $45,000.
the amount due on the maturity date of a $12,000, 60-day 8%, note receivable is: | $12,000.
a company had no office supplies available at the beginning of the year. during the year, the company purchased $250 of office supplies. on december 31, $75 of office supplies remained. how much should the company report as office supplies expense for the year? | $175.
provide descriptions for this transaction: debit insurance expense $8,000 and credit insurance - prepaid expense $,8000 | adjusting prepaid expense at the end of period $8,000
an adjusting entry could be made for each of the following except: | revenue.
merchandise inventory includes: | all goods owned by a company and held for sale.
a company had no office supplies available at the beginning of the year. during the year, the company purchased $250 worth of office supplies. on december 31, $75 worth of office supplies remained. how much should the company report as office supplies expense for the year? | $175.
selling products for cash $300 and $700 on credit. show the general journal entry to record this transaction. | debit cash $ 300 debit account receivable $700 credit revenue $1,000
the summary amounts below appear in the income statement and balance sheet columns of a company's december 31 work sheet. prepare the necessary closing entries into income summary asset : $15,000 liability: $14,000 expense: $ 8,000 withdrawal: $1,000 | credit expense: $8,000 debit income summary: $8,000
if smith, the owner of a restaurant, uses cash of the business to pay for renting his house, the business should record this use of cash with an entry to: | debit withdrawals and credit cash.
provide descriptions for this transaction:debit unearned revenue $8,000 and credit revenue $8,000 | adjusting unearned revenue at the end of period $8,000
which statement is true? | expenses decrease owner's equity
provide descriptions for this transaction:debit office supplies $2,000 and credit liability $,2000 | buying office supplies on credit $2,000
a company that uses a perpetual inventory system made the following cash purchases and sales: jan, 1: purchased 100 units at $10 per unit. feb, 5: purchased 60 units at $12 per unit. march, 16: sold 40 units for $ 16 per unit. prepare the general journal entry to record the march 16 sale assuming a cash sale and the lifo method is used: | dr cash 640 cr sale revenue 640 dr cogs 480 cr inventories 480
a company had inventory on november 1 of 5 units at a cost of $20 each. on november 2, they purchased 10 units at $22 each. on november 6 they purchased 6 units at $25 each. on november 8, 8 units were sold for $55 each. using the lifo perpetual inventory method, what was the value of the inventory on november 8 after the sale? | $276
which accounts don't need to do closing entries? | intangible asset
external users of accounting information exclude: | manager.
adjusting depreciation expense of fixed asset at $8,000. recording this transaction: | debit depreciation expense $8,000 and credit accumulated depreciation expense $,8000
provide descriptions for this transaction: debit inventory $8,000 and credit cash $,8000 | buying inventory by cash $8,000
newton company uses the allowance method of accounting for uncollectible accounts.on may 3, the newton company wrote off the $3,000 uncollectible account of its customer, p. best. the journal entry on may 3 is: | dr allowance for doubtful debts 3000 cr account receivable 3000
provide descriptions for this transaction:debit expense $2,000 and credit supplies $2,000 | used supplies
provide descriptions for this transaction:debit cash $8,000 and credit unearned revenue $,8000 | received payment in advance from customers by cash $8,000
taylor company uses the direct write-off method of recording uncollectible accounts receivable. recently, a customer informed taylor that he would be unable to pay $300 owed to taylor. taylor's proper journal entry to reflect this event would be: | dr. uncollectible accounts expense 300 cr. accounts receivable 300
which statement is true? | the cost of an inventory item includes its invoice cost minus any discount, and plus any added costs necessary to put it in a place and condition for sale.
at the beginning of january of the current year, thomas law center's ledger reflected a normal balance of $52,000 for accounts receivable. during january, the company collected $14,800 from customers on account and provided additional services to customers on account totaling $12,500. additionally, during january one customer paid thomas $5,000 for services to be provided in the future. at the end of january, the balance in the accounts receivable account should be: | $49700
an adjusting entry could be made for each of the following except: | account payable.
which statement is true about tangible asset? | tangible assets are assets held for operating activity of the company
provide descriptions for this transaction: debit cash $8,000 and credit unearned revenue $,8000 | received payment in advance from customers by cash $8,000
flynn company uses an allowance method for recording uncollectible. at the due date of that account receivable, flynn determined that $4,000 due from mitchell will not be collected and should be write off. the entry flynn should record to write off the mitchell account is: | dr. allow. for uncollectible accounts 4,000 cr. accounts receivable 4,000
which statement is true: | account payable is considered a liability on the balance sheet
john set up a new business and completed these transactions:1. open new restaurant, by investing $30,000 cash and equipment valued at $10,000.2. purchased $1,000 of kitchen utility on credit.3. paid $1,500 cash for the staff's salary.4. service meals to customers and collected$4,000 cashwhat was the balance of the cash account after these transactions were posted? | $32,500
a company had inventory of 15 units at a cost of $20 each on november 1. on november 2, it purchased 10 units at $22 each. on november 6 it purchased 12 units at $25 each. on november 8, it sold 22 units for $54 each. using the fifo perpetual inventory method, what was the cost of the 22 units sold? | $454.
provide descriptions for this transaction:debit office supplies $8,000 and credit liability $,8000 | buying office supplies on credit $8,000
reflects assumption that the business will continue operating instead of being closed or sold.it is about: | going-concern assumption
the rule that financial statements will be prepared with the assumption that the business will continue operating instead of being closed or sold, is the: | on - going-concern principle.
given the following information, determine the cost of the inventory at june 30 using the lifo perpetual inventory method. june, 1: beginning inventory 15 units at $20 each june, 15: sale of 6 units at $50 june, 29: purchased of 8 units at $25 the cost of goods sold is : | $120.
which statement is true? | revenue and expense accounts are temporary accounts and should be closed at the end of the accounting period.
qn=180 | ending inventory is equal to merchandise available for sale minus cost of goods sold.
which are expected to be sold collected or used within one year or the company's operating cycle? | current assets
which statement is true: | unearned revenue is considered a liability on the balance sheet
under the accrual basis of accounting, expenses are reported in the accounting period when the | expense incurred
which statement is true? | total asset cost minus accumulated depreciation equals book value.
which of the following is not considered as subcategory of owner's equity? | assets
which statement is true? | current liabilities include accounts payable, unearned revenues, and salaries payable.
which of the following statements is true? | a debit increases an asset while a credit decrease an asset
an adjusting entry could be made for each of the following except: | cash.
acme-jones corporation uses a weighted-average perpetual inventory system.august 2, 10 units were purchased at $12 per unit.august 18, 15 units were purchased at $14 per unit.august 29, 12 units were sold.what was the amount of the cost of goods sold for this sale? | $158.40.
nelson company purchased equipment on july 1 for $27,500 and decided to depreciate the equipment on the straight-line method over its useful life of five years. assuming the equipment's salvage value is $3,500, the amount of monthly depreciation expense nelson should recognize is: | $ 400
items used in business operations, such as office pens and paper are several samples of: | office supplies
at the beginning of 2009, a company's balance sheet reported the following balances:total assets = $125,000; total liabilities = $75,000; and owner's capital = $50,000. during 2009, the company reported revenues of $46,000 and expenses of $30,000. in addition, owner's withdrawals for the year totaled $20,000. assuming no other changes to owner's capital, the balance in the owner's capital account at the end of 2009 would be: | $46,000.
which statement is true? | assets need to depreciate include vehicle, machine, buildings
on june 1, paid $200 cash for office supplies. prepare journal entries to record the above transactions on june 1. | debit office supplies expense $200 credit cash $ 200
an adjusting entry could be made for each of the following except: | cost of goods sold.
which statement is about mary's capital: | the owner's equity account that contains the amount invested in the sole proprietorship by mary smith plus the net income since the company began minus the draws made by mary smith since the company began.
hefty company wants to know the effect of different inventory methods on financial statements. given below is information about beginning inventory and purchases for the current year.  january 2 beginning inventory: 500 units at $3.00 april 7 purchased : 1,100 units at $3.20 june 30 purchased : 400 units at $4.00 december 7 purchased : 1,600 units at $4.40 sales during the year were 2,700 units at $5.00. if hefty used the periodic lifo method, cost of goods sold would be: | $10,880
which accounts don't need to do closing entries? | current liability
cooley company has the balance in the accounts payable at the beginning of march was $1,000. during the month of march, cooley company purchased from dell company on account totaling $2,000. also during this month, cooley company paid $500 on its accounts payable for dell company. in addition, cooley company was paid $8,000 by a customer for services to be provided in the future. what is the balance in accounts payable at the end of march? | $2,500.
which of the following is not a category or element of the balance sheet? | expense
a company had the following purchases during the current year:jan: 10 units at $ 120feb: 20 units at $130may: 15 units at $140sep: 12 units at $150nov: 10 units at $160on december 31, there were 26 units remaining in ending inventory. these 26 units consisted of 2 from january, 4 from february, 6 from may, 4 from september, and 10 from november. using the specific identification method, what is the cost of the ending inventory? | $3,800.
the right side of a t-account is a(n): | credit.
branz company had credit sales during the current year which amounted to $700,000.historically, 3% of credit sales are uncollectible. if branz uses the allowance method of recording uncollectible accounts, a proper journal entry for the year would be: | dr. uncollectible accounts expense 21,000 cr. allow. for uncollectible accounts 21,000
provide descriptions for this transaction:debit unearned revenue $8,000 and credit revenue $,8000 | adjusting unearned revenue at the end of period $8,000
a company that uses a perpetual inventory system made the following cash purchases and sales:jan, 1: purchased 100 units at $10 per unit.feb, 5: purchased 60 units at $12 per unit.march, 16: sold 40 units for $ 16 per unit.prepare the general journal entry to record the march 16 sale assuming a cash sale and the weighted average method is used. | dr cash 640 cr sale revenue 640 dr cogs 430 cr inventories 430
office supplies available at the beginning of the year are 0. during the year, the company purchased $3000 of office supplies. on december 31, $1000 of office supplies remained. additional company's insurance expense is $ 1000. how much should the company report as office supplies expense for the year? | $2000
which are expected to be sold, collected or used within one year or the company's operating cycle? | current assets
which accounts belong to permanent accounts? | asset, liability, owner capital
